trans_date_trans_time,merchant,category,amt,gender,city,state,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,merch_zipcode,Customer_ID,Age,Age_Group,Customer_Segment,Credit_Limit,Account_Balance,Avg_Transaction_Amount,Last_Transaction_Amount,Transactions_Last_24H,Transactions_Last_1H,Time_Since_Last_Transaction_Min,Merchant_Risk_Score,Customer_Risk_Score,Device_Type,Transaction_Channel,Authentication_Method,OTP_Verified,Card_Present,New_Device_Flag,New_Merchant_Flag,Transaction_Hour,Day_of_Week,Weekend_Flag,Fraud_Probability,Predicted_Fraud,Risk_Category
2019-01-07 15:02:15,"Gottlieb, Considine and Schultz",shopping_net,3.54,F,Kingsport,TN,36.4715,-82.4834,87124,Warden/ranger,1987-02-14,35.872093,-82.830503,0,28743,CUST006135,38,26-40,Standard,5836.0,4818.75,3.23,3.61,8,4,610,31,74,ATM,Online,Biometric,No,No,No,No,15,Monday,False,0.0,0,Low Risk
2019-01-16 13:33:31,Kessler Inc,travel,4.4,F,Des Moines,IA,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,42.055161,-92.752859,0,50632,CUST004973,69,60+,Gold,14108.0,12637.36,2.94,4.19,5,2,1227,86,30,ATM,Mobile,OTP,No,Yes,No,No,13,Wednesday,False,0.0,0,Low Risk
2019-01-05 16:28:58,Rippin-VonRueden,health_fitness,12.34,F,Rock Springs,WY,41.606,-109.23,27971,Music therapist,1984-08-01,42.544108,-109.524629,0,45777,CUST008291,41,41-60,Standard,5125.0,2038.91,10.39,6.97,4,4,756,89,28,ATM,Mobile,OTP,Yes,Yes,Yes,No,16,Saturday,True,0.0,0,Low Risk
2019-01-15 03:50:40,Barton Inc,grocery_pos,87.08,F,Viola,AR,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,35.649057,-92.22142,0,72044,CUST007650,39,26-40,Standard,7636.0,5591.95,63.56,91.94,4,0,816,88,49,MOBILE,POS,PIN,Yes,Yes,No,No,3,Tuesday,False,0.0,0,Low Risk
2019-01-14 20:57:55,Schiller Ltd,personal_care,72.7,M,Desdemona,TX,32.2819,-98.5673,407,Clothing/textile technologist,1978-08-08,32.115521,-99.27765,0,76443,CUST002577,47,41-60,Standard,5956.0,2752.27,46.81,44.66,1,0,241,65,37,ATM,Mobile,Biometric,Yes,Yes,No,Yes,20,Monday,False,0.0,0,Low Risk
2019-01-05 12:50:02,Weimann-Lockman,kids_pets,55.6,M,Pointe Aux Pins,MI,45.7549,-84.447,95,Electrical engineer,1994-02-09,45.314982,-85.407755,0,49720,CUST007624,31,26-40,Platinum,50064.0,35891.7,38.1,38.14,2,4,628,49,71,MOBILE,ATM,OTP,Yes,No,No,No,12,Saturday,True,0.0,0,Low Risk
2019-01-12 15:50:36,Denesik and Sons,shopping_pos,3.11,F,Daly City,CA,37.6787,-122.478,107941,"Buyer, industrial",1991-10-04,37.74377,-122.072367,0,94546,CUST005760,34,26-40,Standard,7121.0,5453.57,2.16,2.78,1,1,139,90,77,ATM,ATM,Biometric,Yes,No,No,No,15,Saturday,True,0.0,0,Low Risk
2019-01-03 03:18:50,"Eichmann, Bogan and Rodriguez",gas_transport,54.93,M,Sula,MT,45.8433,-113.8748,218,"Therapist, horticultural",1995-08-16,45.382286,-113.715683,0,83462,CUST010223,30,26-40,Gold,15299.0,7065.23,43.71,37.36,5,0,670,45,59,POS,Mobile,Biometric,Yes,No,No,Yes,3,Thursday,False,0.0,0,Low Risk
2019-01-14 14:56:03,Champlin-Casper,home,35.34,F,Jermyn,PA,41.5744,-75.5881,6508,Training and development officer,1981-06-22,41.728882,-76.038215,0,18828,CUST001089,44,41-60,Gold,15007.0,10990.99,36.06,36.82,10,3,834,84,10,ATM,ATM,PIN,Yes,No,No,No,14,Monday,False,0.0,0,Low Risk
2019-01-17 22:38:26,Kihn-Schuster,food_dining,102.84,M,June Lake,CA,37.7773,-119.0825,633,Health service manager,1927-09-09,38.17657,-119.671255,0,45777,CUST002098,98,60+,Gold,16168.0,7753.85,88.49,37.755,9,0,245,62,52,ATM,Mobile,Biometric,Yes,Yes,No,No,22,Thursday,False,0.0,0,Low Risk
2019-01-18 20:07:54,Lesch Ltd,shopping_pos,50.41,F,Saint Amant,LA,30.2385,-90.8435,10076,"Surveyor, rural practice",1977-12-16,29.675194,-90.896193,0,70352,CUST005795,48,41-60,Standard,4091.0,1448.82,40.11,54.33,10,0,357,33,79,POS,ATM,PIN,Yes,Yes,No,No,20,Friday,False,0.0,0,Low Risk
2019-01-08 06:15:17,Hudson-Ratke,grocery_pos,154.78,F,Umatilla,FL,28.9254,-81.6801,11432,Private music teacher,1986-03-31,29.580657,-80.907647,0,45777,CUST006557,39,26-40,Standard,5734.0,3897.28,101.95,156.75,2,4,395,56,11,MOBILE,Mobile,PIN,Yes,No,No,No,6,Tuesday,False,0.0,0,Low Risk
2019-01-14 18:26:14,Romaguera Ltd,health_fitness,30.56,M,Falconer,NY,42.1239,-79.1895,3833,Metallurgist,1970-10-09,42.159459,-78.400785,0,14743,CUST006667,55,41-60,Standard,7132.0,3696.24,24.92,36.61,8,2,68,55,80,MOBILE,Online,OTP,Yes,Yes,No,No,18,Monday,False,0.0,0,Low Risk
2019-01-04 04:58:45,Murray-Smitham,grocery_pos,118.99,F,Bradley,SC,34.0326,-82.2027,1523,Research scientist (physical sciences),1984-06-03,34.640936,-82.755561,0,29670,CUST005864,41,41-60,Standard,7630.0,4420.08,78.45,76.24,3,0,187,81,58,POS,Mobile,PIN,Yes,Yes,No,No,4,Friday,False,0.0,0,Low Risk
2019-01-10 11:01:05,Strosin-Cruickshank,grocery_pos,218.5,F,Wilmington,NC,34.2651,-77.867,186140,English as a second language teacher,1983-02-08,34.428964,-77.372492,0,28460,CUST010715,42,41-60,Gold,16678.0,11645.95,159.36,254.5,7,1,984,77,4,MOBILE,Mobile,OTP,Yes,No,No,No,11,Thursday,False,0.0,0,Low Risk
2019-01-17 15:42:29,Howe Ltd,misc_pos,366.03,M,Birmingham,AL,33.4629,-86.7904,493806,Musician,1980-07-12,33.746788,-86.763933,0,35116,CUST007494,45,41-60,Standard,4803.0,4314.38,303.36,208.25,10,2,431,99,88,ATM,Online,PIN,No,Yes,No,No,15,Thursday,False,0.06,0,Low Risk
2019-01-05 19:24:30,"McDermott, Osinski and Morar",home,7.44,F,East Canaan,CT,42.0158,-73.2913,647,Comptroller,1987-09-26,41.691828,-73.8421599999999,0,12603,CUST010946,38,26-40,Gold,15351.0,4492.01,5.94,7.71,9,3,518,63,93,ATM,POS,Biometric,Yes,Yes,No,No,19,Saturday,True,0.0,0,Low Risk
2019-01-09 14:29:47,McKenzie-Huels,food_dining,27.44,F,Oran,IA,42.7012,-92.0762,53,Sports administrator,1972-10-05,42.560115,-91.335752,0,52050,CUST007323,53,41-60,Standard,5597.0,1954.33,24.06,21.53,6,0,1122,56,55,WEB,Mobile,PIN,Yes,Yes,No,No,14,Wednesday,False,0.01,0,Low Risk
2019-01-15 18:03:36,"Klocko, Runolfsdottir and Breitenberg",health_fitness,30.43,F,Conway,WA,48.34,-122.3456,85,"Research officer, political party",1984-09-01,48.902884,-122.829423,0,98230,CUST006531,41,41-60,Standard,5545.0,4482.125,26.09,18.89,2,4,62,35,100,ATM,POS,OTP,Yes,Yes,No,No,18,Tuesday,False,0.0,0,Low Risk
2019-01-06 17:01:39,"Walter, Hettinger and Kessler",personal_care,86.66,M,Winfield,WV,38.5072,-81.89,5512,Exhibition designer,1980-03-24,39.314827,-81.740337,0,45742,CUST001329,45,41-60,Gold,17065.0,5254.71,74.75,89.35,2,0,114,48,25,WEB,POS,PIN,No,Yes,No,No,17,Sunday,True,0.0,0,Low Risk
2019-01-01 16:24:16,McDermott-Rice,misc_pos,8.71,M,Pikesville,MD,39.3764,-76.729,33917,Company secretary,1977-06-12,38.885368,-76.925187,0,20019,CUST007067,48,41-60,Standard,5668.0,2069.62,6.65,5.07,7,2,1323,15,54,POS,ATM,PIN,Yes,No,No,No,16,Tuesday,False,0.0,0,Low Risk
2019-01-06 06:22:04,Pagac LLC,shopping_pos,7.32,F,Delhi,LA,32.3929,-91.4714,6581,Multimedia programmer,1964-02-13,31.858109,-91.536141,0,71368,CUST010713,61,60+,Standard,5285.0,1776.29,5.73,6.87,6,4,915,40,1,MOBILE,Online,PIN,Yes,Yes,No,Yes,6,Sunday,True,0.0,0,Low Risk
2019-01-15 23:19:32,Bednar Inc,travel,5.51,F,Hedley,TX,34.8698,-100.6806,513,Early years teacher,1976-05-24,35.107603,-100.94371,0,45777,CUST002023,49,41-60,Standard,5739.0,3195.08,4.32,3.74,9,2,210,20,4,MOBILE,Mobile,Biometric,Yes,No,No,No,23,Tuesday,False,0.0,0,Low Risk
2019-01-16 06:11:35,Spencer-Runolfsson,misc_pos,7.1,F,Odessa,MO,38.9829,-93.9757,9512,Clinical research associate,1972-12-31,39.007273,-94.062878,0,64011,CUST000165,53,41-60,Standard,5440.0,2175.36,5.18,6.31,5,0,1376,24,7,WEB,Mobile,OTP,Yes,No,No,No,6,Wednesday,False,0.0,0,Low Risk
2019-01-14 04:43:56,Pouros-Conroy,shopping_pos,128.01,M,Big Indian,NY,42.074,-74.453,397,Psychiatrist,1931-09-12,41.892148,-74.1345,0,12419,CUST005971,94,60+,Standard,7133.0,2316.23,111.11,72.0,10,4,1257,15,11,MOBILE,Online,Biometric,Yes,Yes,No,No,4,Monday,False,0.0,0,Low Risk
2019-01-07 11:34:47,Brekke and Sons,gas_transport,75.35,F,Deane,KY,37.2409,-82.7696,230,"Conservation officer, historic buildings",1997-08-04,37.188993,-82.074344,0,24656,CUST006934,28,26-40,Platinum,51672.0,34104.84,51.55,43.15,3,2,1023,6,20,ATM,POS,Biometric,No,Yes,No,No,11,Monday,False,0.0,0,Low Risk
2019-01-11 22:51:17,Bogisich-Weimann,kids_pets,53.24,M,Brooklin,ME,44.2541,-68.5565,824,"Loss adjuster, chartered",1974-11-02,44.668879,-68.66506,0,4429,CUST004263,51,41-60,Gold,15719.0,8372.3,34.82,54.06,4,1,272,16,67,POS,ATM,PIN,Yes,Yes,No,No,22,Friday,False,0.01,0,Low Risk
2019-01-15 11:28:40,McDermott-Rice,misc_pos,5.4,M,Parker,CO,39.5102,-104.7216,84861,Materials engineer,1932-03-10,38.644514,-105.562152,0,80820,CUST010334,93,60+,Gold,16306.0,8176.53,3.27,3.46,3,3,548,73,41,MOBILE,POS,OTP,Yes,No,No,No,11,Tuesday,False,0.0,0,Low Risk
2019-01-07 22:15:42,"Bernhard, Grant and Langworth",shopping_pos,3.91,F,Sherman,TX,33.6372,-96.6184,46563,Systems developer,1970-09-11,33.922003,-96.850381,0,73440,CUST001263,55,41-60,Platinum,49826.0,24843.09,3.16,37.755,3,2,26,92,38,MOBILE,Online,PIN,Yes,Yes,No,No,22,Monday,False,0.0,0,Low Risk
2019-01-11 16:32:28,"Mueller, Gerhold and Mueller",health_fitness,32.89,F,Cranks,KY,36.7558,-83.1838,581,"Psychologist, counselling",1967-02-04,36.645261,-82.662451,0,24251,CUST008839,58,41-60,Standard,6438.0,5176.34,21.85,27.29,10,2,766,50,99,POS,POS,PIN,Yes,Yes,No,No,16,Friday,False,0.0,0,Low Risk
2019-01-08 15:10:27,Schulist Ltd,food_dining,39.0,F,Moravian Falls,NC,36.0788,-81.1781,3495,"Psychologist, counselling",1988-03-09,35.360129,-80.247965,0,28001,CUST008478,37,26-40,Platinum,52095.0,11086.43,24.15,38.38,7,2,368,19,17,WEB,Mobile,OTP,Yes,Yes,No,No,15,Tuesday,False,0.0,0,Low Risk
2019-01-18 15:58:01,Dibbert and Sons,entertainment,24.76,F,Mound City,MO,40.1362,-95.2138,1631,Architect,1953-01-20,40.283373,-95.617522,0,68414,CUST002151,72,60+,Gold,7367.5,6184.56,18.65,18.24,9,1,1019,29,51,WEB,Online,PIN,No,Yes,No,No,15,Friday,False,0.0,0,Low Risk
2019-01-16 05:31:32,Ledner-Pfannerstill,gas_transport,61.23,M,Conway,NH,43.9742,-71.1503,3807,Surgeon,1999-10-25,43.20641,-71.548395,0,3301,CUST007924,26,26-40,Standard,6274.0,5327.49,50.88,70.87,11,2,115,62,19,POS,ATM,OTP,Yes,Yes,No,No,5,Wednesday,False,0.01,0,Low Risk
2019-01-10 11:20:37,Parisian and Sons,gas_transport,60.25,M,Paint Rock,AL,34.7031,-86.3068,653,Paediatric nurse,1966-06-19,34.298968,-85.9042329999999,0,35963,CUST010073,59,41-60,Standard,5082.0,4515.89,41.57,43.49,10,0,605,18,15,ATM,Online,Biometric,Yes,No,No,No,11,Thursday,False,0.0,0,Low Risk
2019-01-13 16:42:43,"Runte, Green and Emard",health_fitness,50.57,F,Bynum,TX,31.9907,-96.9837,522,Commercial/residential surveyor,1946-03-21,32.685692,-96.555696,0,75159,CUST004434,79,60+,Standard,6004.0,4876.94,32.62,49.52,6,0,485,84,53,MOBILE,POS,Biometric,Yes,No,No,Yes,16,Sunday,True,0.0,0,Low Risk
2019-01-15 18:04:16,"Bernhard, Grant and Langworth",shopping_pos,6.36,F,Spencer,SD,43.7557,-97.5936,343,"Development worker, international aid",1972-03-05,44.548089,-96.987769,0,57234,CUST008308,53,41-60,Standard,6553.0,4957.06,3.95,4.61,9,4,42,63,21,WEB,ATM,Biometric,Yes,Yes,No,No,18,Tuesday,False,0.0,0,Low Risk
2019-01-01 23:39:08,"Lubowitz, Terry and Stracke",personal_care,12.64,F,Topeka,KS,39.1329,-95.7023,163415,Secondary school teacher,2004-12-30,38.272719,-95.0156,0,66072,CUST008187,21,18-25,Standard,5362.0,1162.3,9.04,9.55,4,4,954,21,24,MOBILE,Mobile,OTP,Yes,Yes,No,No,23,Tuesday,False,0.0,0,Low Risk
2019-01-13 18:52:50,Heathcote LLC,shopping_net,126.11,F,Orangeburg,NY,41.0442,-73.9609,5950,Records manager,1971-07-02,40.690888,-73.717771,0,11411,CUST003855,54,41-60,Gold,16442.0,9092.21,83.81,72.26,2,0,396,30,39,WEB,ATM,PIN,Yes,Yes,No,No,18,Sunday,True,0.0,0,Low Risk
2019-01-02 14:21:44,"Schoen, Nienow and Bauch",personal_care,4.6,F,Spencer,SD,43.7557,-97.5936,343,"Development worker, international aid",1972-03-05,44.318456,-98.565643,0,57379,CUST006203,53,41-60,Standard,6840.0,4526.4,3.35,3.41,10,1,539,88,47,ATM,POS,PIN,Yes,No,No,No,14,Wednesday,False,0.0,0,Low Risk
2019-01-11 13:12:09,Schmeler-Howe,personal_care,4.11,F,Montrose,NY,41.2496,-73.9446,3487,Race relations officer,1960-01-13,40.519766,-74.7910199999999,0,8887,CUST007882,65,60+,Standard,7521.0,1531.67,2.98,3.52,3,3,224,50,53,ATM,Online,OTP,Yes,No,No,No,13,Friday,False,0.02,0,Low Risk
2019-01-07 17:41:37,Carroll PLC,health_fitness,46.45,M,San Antonio,TX,29.5894,-98.5201,1595797,Exhibition designer,1975-12-28,29.240674,-98.765032,0,78052,CUST006395,50,41-60,Standard,7385.0,5262.41,34.52,35.53,1,2,238,50,83,POS,ATM,Biometric,No,Yes,No,No,17,Monday,False,0.0,0,Low Risk
2019-01-16 09:19:12,Dicki Ltd,grocery_net,54.78,M,West Hartford,VT,43.7185,-72.4439,140,"Development worker, community",1989-10-28,44.71461,-72.351562,0,5820,CUST000943,36,26-40,Gold,15670.0,5365.62,47.01,55.73,4,0,47,88,77,MOBILE,Online,OTP,Yes,Yes,Yes,No,9,Wednesday,False,0.0,0,Low Risk
2019-01-13 08:09:31,Bernhard Inc,gas_transport,52.17,F,Galatia,IL,37.8274,-88.6235,1943,"Restaurant manager, fast food",1971-10-19,37.806952,-87.632038,0,42420,CUST004992,54,41-60,Standard,7554.0,3787.38,38.21,36.52,10,0,1200,62,54,MOBILE,ATM,Biometric,Yes,Yes,No,No,8,Sunday,True,0.0,0,Low Risk
2019-01-13 13:09:19,Dibbert and Sons,entertainment,106.57,F,Hudson,KS,38.1485,-98.6408,215,Probation officer,1968-11-22,38.266,-98.138591,0,67579,CUST010984,57,41-60,Standard,4472.0,3335.2,73.1,85.93,3,1,263,71,62,WEB,Mobile,OTP,Yes,No,Yes,No,13,Sunday,True,0.0,0,Low Risk
2019-01-02 20:56:51,Connelly-Carter,home,180.47,F,Colorado Springs,CO,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,1992-05-09,38.166824,-105.374185,0,81252,CUST008350,33,26-40,Standard,6125.0,2685.93,159.52,203.67,8,1,513,51,65,WEB,ATM,OTP,Yes,No,No,No,20,Wednesday,False,0.0,0,Low Risk
2019-01-13 13:32:45,Powlowski-Weimann,food_dining,116.72,F,Roma,TX,26.4215,-99.0025,18128,IT trainer,1990-11-07,26.400187,-98.096474,0,78542,CUST006548,35,26-40,Standard,6512.0,3843.5,72.91,86.57,9,1,440,82,61,POS,Online,Biometric,Yes,Yes,No,Yes,13,Sunday,True,0.01,0,Low Risk
2019-01-15 02:16:19,Hudson-Ratke,grocery_pos,244.18,F,Hurricane,WV,38.4257,-81.9943,21902,Sub,1980-09-18,38.960365,-82.702054,0,45640,CUST005146,45,41-60,Standard,7734.0,3618.64,216.29,155.34,8,1,679,26,77,POS,Online,Biometric,Yes,Yes,No,No,2,Tuesday,False,0.04,0,Low Risk
2019-01-01 14:11:41,Cartwright PLC,kids_pets,14.69,F,Coleharbor,ND,47.5196,-101.2332,307,Make,1930-08-13,47.938229,-102.081699,0,58770,CUST004519,95,60+,Standard,4898.0,4342.68,12.32,13.66,11,1,972,95,35,WEB,Mobile,Biometric,Yes,Yes,No,No,14,Tuesday,False,0.0,0,Low Risk
2019-01-05 15:23:32,"Bahringer, Bergnaum and Quitzon",home,78.83,F,Cuthbert,GA,31.7706,-84.7936,5726,Fitness centre manager,1947-08-14,32.540452,-84.031714,0,31076,CUST007458,78,60+,Standard,5186.0,4489.83,50.87,52.51,1,0,790,76,35,ATM,Online,OTP,Yes,Yes,No,No,15,Saturday,True,0.0,0,Low Risk
2019-01-02 15:45:28,Bednar Inc,travel,3.08,F,Llano,NM,36.1486,-105.6648,247,Architectural technologist,1961-10-24,35.503594,-106.578862999999,0,45777,CUST003350,64,60+,Platinum,7367.5,39209.02,2.69,2.71,9,1,155,98,39,POS,Online,Biometric,No,Yes,Yes,Yes,15,Wednesday,False,0.0,0,Low Risk
2019-01-19 00:13:14,"Zboncak, Rowe and Murazik",shopping_net,3.1,M,Ruth,NV,39.3426,-114.8859,450,Interpreter,1946-08-24,38.993267,-115.795321,0,89314,CUST009449,79,60+,Gold,14572.0,7489.67,1.92,3.11,6,3,886,96,32,MOBILE,POS,OTP,Yes,Yes,No,No,0,Saturday,True,0.0,0,Low Risk
2019-01-06 18:27:49,Baumbach Ltd,personal_care,50.99,M,Indian Wells,CA,33.7163,-116.3381,4677,Learning mentor,1955-05-06,34.144606,-115.864554,0,92277,CUST010884,70,60+,Standard,6124.0,2981.84,40.2,49.87,10,2,340,7,55,POS,ATM,PIN,Yes,No,No,No,18,Sunday,True,0.0,0,Low Risk
